x	y	group	clickSelects	PANEL
1	21.97937741834	1	4.2	1
2	20.5500059597303	1	4.2	1
3	21.9982070743162	1	4.2	1
4	24.3378939887337	1	4.2	1
5	29.5378436187146	1	4.2	1
6	34.8930856665103	1	4.2	1
7	40.2415759563563	1	4.2	1
1	16.9814113818666	2	11.2	1
2	21.3284809693933	2	11.2	1
3	25.931207369563	2	11.2	1
4	31.0352890877039	2	11.2	1
1	17.2920553093754	3	4.3	1
2	12.7267558555121	3	4.3	1
3	17.7370792657276	3	4.3	1
4	22.8266117566184	3	4.3	1
5	27.8532306794183	3	4.3	1
6	32.9015019890667	3	4.3	1
1	8.17266598231627	4	4.5	1
2	11.8472983728148	4	4.5	1
1	17.3159275443493	5	1.7	1
2	12.4438447660844	5	1.7	1
3	17.0517524226214	5	1.7	1
4	21.7361070146983	5	1.7	1
5	26.4328853246725	5	1.7	1
6	31.114107540643	5	1.7	1
1	13.3667047878406	6	11.8	1
2	17.1251140925708	6	11.8	1
3	20.651508250441	6	11.8	1
4	24.0652135192192	6	11.8	1
1	6.98485434293262	7	10.9	1
2	12.0936948723477	7	10.9	1
