group	x	xend
1	45.1646255	45.1646255
2	114.0421115	114.0421115
3	163.3230035	163.3230035
4	45.1646255	45.1646255
5	114.0421115	114.0421115
6	163.3230035	163.3230035
7	45.1646255	45.1646255
8	114.0421115	114.0421115
9	159.0010955	159.0010955
10	163.3230035	163.3230035
11	45.1646255	45.1646255
12	114.0421115	114.0421115
13	156.5677825	156.5677825
14	159.0010955	159.0010955
15	163.3230035	163.3230035
16	45.1646255	45.1646255
17	114.0421115	114.0421115
18	126.7247165	126.7247165
19	154.5368745	154.5368745
20	159.0010955	159.0010955
21	163.3230035	163.3230035
22	45.1646255	45.1646255
23	114.0421115	114.0421115
24	124.7175465	124.7175465
25	126.7247165	126.7247165
26	154.5368745	154.5368745
27	159.0010955	159.0010955
28	163.3230035	163.3230035
29	45.1646255	45.1646255
30	114.0421115	114.0421115
31	124.7175465	124.7175465
32	126.7247165	126.7247165
33	154.5368745	154.5368745
34	159.0010955	159.0010955
35	163.3230035	163.3230035
36	230.2714635	230.2714635
37	45.1646255	45.1646255
38	114.0421115	114.0421115
39	117.8272545	117.8272545
40	119.6283145	119.6283145
41	124.7175465	124.7175465
42	126.7247165	126.7247165
43	154.5368745	154.5368745
44	159.0010955	159.0010955
45	163.3230035	163.3230035
46	45.1646255	45.1646255
47	114.0421115	114.0421115
48	117.8272545	117.8272545
49	119.6283145	119.6283145
50	124.7175465	124.7175465
51	126.7247165	126.7247165
52	154.5368745	154.5368745
53	159.0010955	159.0010955
54	163.3230035	163.3230035
55	230.2714635	230.2714635
56	45.1646255	45.1646255
57	114.0421115	114.0421115
58	117.8272545	117.8272545
59	119.6283145	119.6283145
60	124.7175465	124.7175465
61	126.7247165	126.7247165
62	154.5368745	154.5368745
63	159.0010955	159.0010955
64	163.3230035	163.3230035
65	230.2714635	230.2714635
66	242.4128845	242.4128845
67	45.1646255	45.1646255
68	114.0421115	114.0421115
69	117.8272545	117.8272545
70	119.6283145	119.6283145
71	124.7175465	124.7175465
72	126.7247165	126.7247165
73	128.2042035	128.2042035
74	129.2749285	129.2749285
75	154.5368745	154.5368745
76	159.0010955	159.0010955
77	163.3230035	163.3230035
78	230.2714635	230.2714635
79	45.1646255	45.1646255
80	114.0421115	114.0421115
81	117.8272545	117.8272545
82	119.6283145	119.6283145
83	124.7175465	124.7175465
84	126.7247165	126.7247165
85	128.2042035	128.2042035
86	129.2749285	129.2749285
87	154.5368745	154.5368745
88	159.0010955	159.0010955
89	163.3230035	163.3230035
90	230.2714635	230.2714635
91	242.4128845	242.4128845
92	45.1646255	45.1646255
93	60.5902655	60.5902655
94	114.0421115	114.0421115
95	117.8272545	117.8272545
96	119.6283145	119.6283145
97	124.7175465	124.7175465
98	126.7247165	126.7247165
99	128.2042035	128.2042035
100	129.2749285	129.2749285
101	154.5368745	154.5368745
102	159.0010955	159.0010955
103	163.3230035	163.3230035
104	230.2714635	230.2714635
105	242.4128845	242.4128845
106	45.1646255	45.1646255
107	60.5902655	60.5902655
108	114.0421115	114.0421115
109	117.8272545	117.8272545
110	119.6283145	119.6283145
111	124.7175465	124.7175465
112	126.7247165	126.7247165
113	128.2042035	128.2042035
114	129.2749285	129.2749285
115	154.5368745	154.5368745
116	159.0010955	159.0010955
117	162.3798635	162.3798635
118	163.3230035	163.3230035
119	230.2714635	230.2714635
120	242.4128845	242.4128845
121	32.2051405	32.2051405
122	45.1646255	45.1646255
123	60.5902655	60.5902655
124	114.0421115	114.0421115
125	117.8272545	117.8272545
126	119.6283145	119.6283145
127	124.7175465	124.7175465
128	126.7247165	126.7247165
129	128.2042035	128.2042035
130	129.2749285	129.2749285
131	154.5368745	154.5368745
132	159.0010955	159.0010955
133	162.3798635	162.3798635
134	163.3230035	163.3230035
135	230.2714635	230.2714635
136	242.4128845	242.4128845
137	15.4697025	15.4697025
138	15.7986865	15.7986865
139	32.2051405	32.2051405
140	45.1646255	45.1646255
141	60.5902655	60.5902655
142	114.0421115	114.0421115
143	117.8272545	117.8272545
144	119.6283145	119.6283145
145	124.7175465	124.7175465
146	126.7247165	126.7247165
147	128.2042035	128.2042035
148	129.2749285	129.2749285
149	154.5368745	154.5368745
150	159.0010955	159.0010955
151	163.3230035	163.3230035
152	230.2714635	230.2714635
153	242.4128845	242.4128845
154	15.4697025	15.4697025
155	15.7986865	15.7986865
156	32.2051405	32.2051405
157	45.1646255	45.1646255
158	60.5902655	60.5902655
159	114.0421115	114.0421115
160	117.8272545	117.8272545
161	119.6283145	119.6283145
162	124.7175465	124.7175465
163	126.7247165	126.7247165
164	128.2042035	128.2042035
165	129.2749285	129.2749285
166	154.5368745	154.5368745
167	159.0010955	159.0010955
168	162.3798635	162.3798635
169	163.3230035	163.3230035
170	230.2714635	230.2714635
171	242.4128845	242.4128845
172	15.4697025	15.4697025
173	15.7986865	15.7986865
174	32.2051405	32.2051405
175	45.1646255	45.1646255
176	59.1372395	59.1372395
177	60.5902655	60.5902655
178	114.0421115	114.0421115
179	117.8272545	117.8272545
180	119.6283145	119.6283145
181	124.7175465	124.7175465
182	126.7247165	126.7247165
183	128.2042035	128.2042035
184	129.2749285	129.2749285
185	154.5368745	154.5368745
186	159.0010955	159.0010955
187	162.3798635	162.3798635
188	163.3230035	163.3230035
189	230.2714635	230.2714635
190	242.4128845	242.4128845
