x	y	label	showSelected1	showSelected2	group
122.136747	-2.17143084780323	1 segment	4.2	1	1
122.136747	-2.17143084780323	2 segments	4.2	2	1
122.136747	-2.17143084780323	3 segments	4.2	3	1
122.136747	-2.17143084780323	4 segments	4.2	4	1
122.136747	-2.17143084780323	5 segments	4.2	5	1
122.136747	-2.17143084780323	6 segments	4.2	6	1
122.136747	-2.17143084780323	7 segments	4.2	7	1
122.136747	-2.17143084780323	8 segments	4.2	8	1
122.136747	-2.17143084780323	9 segments	4.2	9	1
122.136747	-2.17143084780323	10 segments	4.2	10	1
122.136747	-2.17143084780323	11 segments	4.2	11	1
122.136747	-2.17143084780323	12 segments	4.2	12	1
122.136747	-2.17143084780323	13 segments	4.2	13	1
122.136747	-2.17143084780323	14 segments	4.2	14	1
122.136747	-2.17143084780323	15 segments	4.2	15	1
122.136747	-2.17143084780323	16 segments	4.2	16	1
122.136747	-2.17143084780323	17 segments	4.2	17	1
122.136747	-2.17143084780323	18 segments	4.2	18	1
122.136747	-2.17143084780323	19 segments	4.2	19	1
122.136747	-2.17143084780323	20 segments	4.2	20	1
121.409556	-2.17143084780323	1 segment	11.2	1	2
121.409556	-2.17143084780323	2 segments	11.2	2	2
121.409556	-2.17143084780323	3 segments	11.2	3	2
121.409556	-2.17143084780323	4 segments	11.2	4	2
121.409556	-2.17143084780323	5 segments	11.2	5	2
121.409556	-2.17143084780323	6 segments	11.2	6	2
121.409556	-2.17143084780323	7 segments	11.2	7	2
121.409556	-2.17143084780323	8 segments	11.2	8	2
121.409556	-2.17143084780323	9 segments	11.2	9	2
121.409556	-2.17143084780323	10 segments	11.2	10	2
121.409556	-2.17143084780323	11 segments	11.2	11	2
121.409556	-2.17143084780323	12 segments	11.2	12	2
121.409556	-2.17143084780323	13 segments	11.2	13	2
121.409556	-2.17143084780323	14 segments	11.2	14	2
121.409556	-2.17143084780323	15 segments	11.2	15	2
121.409556	-2.17143084780323	16 segments	11.2	16	2
121.409556	-2.17143084780323	17 segments	11.2	17	2
121.409556	-2.17143084780323	18 segments	11.2	18	2
121.409556	-2.17143084780323	19 segments	11.2	19	2
121.409556	-2.17143084780323	20 segments	11.2	20	2
98.6261655	-2.17143084780323	1 segment	4.3	1	3
98.6261655	-2.17143084780323	2 segments	4.3	2	3
98.6261655	-2.17143084780323	3 segments	4.3	3	3
98.6261655	-2.17143084780323	4 segments	4.3	4	3
98.6261655	-2.17143084780323	5 segments	4.3	5	3
98.6261655	-2.17143084780323	6 segments	4.3	6	3
98.6261655	-2.17143084780323	7 segments	4.3	7	3
98.6261655	-2.17143084780323	8 segments	4.3	8	3
98.6261655	-2.17143084780323	9 segments	4.3	9	3
98.6261655	-2.17143084780323	10 segments	4.3	10	3
98.6261655	-2.17143084780323	11 segments	4.3	11	3
98.6261655	-2.17143084780323	12 segments	4.3	12	3
98.6261655	-2.17143084780323	13 segments	4.3	13	3
98.6261655	-2.17143084780323	14 segments	4.3	14	3
98.6261655	-2.17143084780323	15 segments	4.3	15	3
98.6261655	-2.17143084780323	16 segments	4.3	16	3
98.6261655	-2.17143084780323	17 segments	4.3	17	3
98.6261655	-2.17143084780323	18 segments	4.3	18	3
98.6261655	-2.17143084780323	19 segments	4.3	19	3
98.6261655	-2.17143084780323	20 segments	4.3	20	3
90.465327	-2.17143084780323	1 segment	4.5	1	4
90.465327	-2.17143084780323	2 segments	4.5	2	4
90.465327	-2.17143084780323	3 segments	4.5	3	4
90.465327	-2.17143084780323	4 segments	4.5	4	4
90.465327	-2.17143084780323	5 segments	4.5	5	4
90.465327	-2.17143084780323	6 segments	4.5	6	4
90.465327	-2.17143084780323	7 segments	4.5	7	4
90.465327	-2.17143084780323	8 segments	4.5	8	4
